Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2023-12-10,2340.48000000,2377.47000000,2320.00000000,2352.39000000,200037.21020000,2023-12-10 23:59:59.999,469860963.94715300,464455,98846.24030000,232231421.44970500,0
2023-12-11,2352.39000000,2355.00000000,2156.62000000,2225.12000000,640414.91660000,2023-12-11 23:59:59.999,1426910964.96622000,1153316,310376.71830000,691367771.31758400,0
2023-12-12,2225.11000000,2244.12000000,2166.00000000,2203.46000000,361588.90870000,2023-12-12 23:59:59.999,799015127.41497400,804062,174479.15720000,385626460.74170900,0
2023-12-13,2203.47000000,2284.02000000,2144.32000000,2260.16000000,418916.61540000,2023-12-13 23:59:59.999,922420273.94725300,897019,208136.21200000,458517097.43953700,0
2023-12-14,2260.16000000,2332.11000000,2228.20000000,2315.32000000,409508.09310000,2023-12-14 23:59:59.999,934716057.65086400,918965,199995.25980000,456684016.25940700,0
2023-12-15,2315.32000000,2317.81000000,2200.00000000,2220.50000000,333552.63280000,2023-12-15 23:59:59.999,754022987.24772200,714102,158002.09790000,357145001.64517100,0
2023-12-16,2220.51000000,2263.40000000,2210.00000000,2228.96000000,199285.92300000,2023-12-16 23:59:59.999,446980227.08283500,528692,102517.14940000,229991096.38707800,0
2023-12-17,2228.96000000,2248.68000000,2191.50000000,2196.52000000,225925.76750000,2023-12-17 23:59:59.999,501306718.24280800,531241,110196.73310000,244591673.21800200,0
2023-12-18,2196.53000000,2224.00000000,2116.60000000,2219.43000000,364103.11810000,2023-12-18 23:59:59.999,789100505.03171100,769310,185328.36640000,401777681.85963600,0
2023-12-19,2219.44000000,2255.00000000,2135.55000000,2177.91000000,383551.40490000,2023-12-19 23:59:59.999,847060839.70839800,786067,199184.67690000,440190473.49901500,0
2023-12-20,2177.90000000,2266.00000000,2156.00000000,2202.17000000,416841.62720000,2023-12-20 23:59:59.999,922794580.70340200,867198,217937.72750000,482487428.03181000,0
2023-12-21,2202.17000000,2279.31000000,2182.98000000,2239.61000000,453069.72520000,2023-12-21 23:59:59.999,1010354340.13579900,848508,231043.88830000,515263188.51310800,0
2023-12-22,2239.60000000,2343.15000000,2230.59000000,2324.54000000,591357.48800000,2023-12-22 23:59:59.999,1358322906.95807800,1124820,304284.72800000,698670214.94879500,0
2023-12-23,2324.54000000,2330.65000000,2265.00000000,2308.20000000,255626.93520000,2023-12-23 23:59:59.999,586078143.24207900,588229,125338.90030000,287364940.98055700,0
2023-12-24,2308.20000000,2326.19000000,2245.00000000,2264.05000000,307951.07600000,2023-12-24 23:59:59.999,705420988.78504000,711200,149344.80480000,342167364.79642400,0
2023-12-25,2264.04000000,2304.80000000,2253.10000000,2271.35000000,286277.16160000,2023-12-25 23:59:59.999,652158658.25835100,613108,142610.65470000,324881292.11961500,0
2023-12-26,2271.36000000,2274.99000000,2178.45000000,2230.88000000,410413.15910000,2023-12-26 23:59:59.999,916097827.49845000,701701,204347.73880000,456146429.33845700,0
2023-12-27,2230.88000000,2392.44000000,2211.88000000,2378.35000000,541537.35740000,2023-12-27 23:59:59.999,1250873719.55066100,978666,275739.28200000,637066006.82783400,0
2023-12-28,2378.35000000,2445.80000000,2335.00000000,2344.15000000,580459.98200000,2023-12-28 23:59:59.999,1385456486.28619100,1241094,286686.85360000,684383781.91887600,0
2023-12-29,2344.15000000,2385.41000000,2255.34000000,2299.20000000,450201.20690000,2023-12-29 23:59:59.999,1049566350.12220900,990308,220819.11790000,515080529.83158400,0
2023-12-30,2299.20000000,2322.84000000,2268.00000000,2291.68000000,210539.13270000,2023-12-30 23:59:59.999,483369913.47884600,555932,104439.50030000,239815289.25653100,0
2023-12-31,2291.68000000,2321.34000000,2258.88000000,2281.87000000,222175.87790000,2023-12-31 23:59:59.999,510046689.18739600,548848,109570.80690000,251574412.24206300,0
2024-01-01,2281.87000000,2352.37000000,2265.24000000,2352.04000000,216702.69140000,2024-01-01 23:59:59.999,500451219.61280600,536670,112374.43700000,259588575.40024500,0
2024-01-02,2352.05000000,2431.30000000,2341.00000000,2355.34000000,458041.66420000,2024-01-02 23:59:59.999,1090922198.04909100,1028335,223746.24220000,532982278.47975200,0
2024-01-03,2355.35000000,2385.45000000,2100.00000000,2209.72000000,798729.48690000,2024-01-03 23:59:59.999,1797597895.17990400,1351067,401227.76080000,903126257.91575700,0
2024-01-04,2209.72000000,2294.69000000,2201.91000000,2267.11000000,448844.05500000,2024-01-04 23:59:59.999,1009072619.20677300,780771,234794.62830000,527905592.14952300,0
2024-01-05,2267.11000000,2277.21000000,2206.17000000,2268.78000000,405568.00060000,2024-01-05 23:59:59.999,910367621.18166200,758963,213615.44270000,479634490.30828000,0
2024-01-06,2268.78000000,2270.00000000,2216.40000000,2240.78000000,194067.86560000,2024-01-06 23:59:59.999,434867515.95915700,450441,96482.41730000,216188633.00675600,0
2024-01-07,2240.77000000,2258.01000000,2203.46000000,2221.42000000,207138.69270000,2024-01-07 23:59:59.999,463525159.25742900,516569,102848.67020000,230218378.95440000,0
2024-01-08,2221.42000000,2358.20000000,2166.38000000,2330.44000000,539407.55470000,2024-01-08 23:59:59.999,1221527410.44082200,1069027,279216.73100000,632217788.55808000,0
2024-01-09,2330.43000000,2371.72000000,2226.78000000,2344.29000000,551454.99310000,2024-01-09 23:59:59.999,1267764132.83607700,1196445,273075.88920000,627991032.60132400,0
2024-01-10,2344.30000000,2643.10000000,2339.59000000,2584.38000000,1038388.66600000,2024-01-10 23:59:59.999,2536320982.38854300,2010707,535126.43720000,1307342421.54056900,0
2024-01-11,2584.37000000,2689.39000000,2566.01000000,2618.01000000,838712.25770000,2024-01-11 23:59:59.999,2194916359.19164600,1693755,422894.05640000,1106947875.84467300,0
2024-01-12,2618.01000000,2717.32000000,2458.00000000,2522.54000000,887457.76270000,2024-01-12 23:59:59.999,2318179618.08691200,1860636,438363.57200000,1145981221.30549400,0
2024-01-13,2522.55000000,2590.00000000,2497.50000000,2578.19000000,422061.23200000,2024-01-13 23:59:59.999,1075466481.72042000,898845,218172.40570000,556065721.44368000,0
2024-01-14,2578.18000000,2578.69000000,2470.00000000,2472.87000000,306207.74630000,2024-01-14 23:59:59.999,774962904.80711700,732294,144164.47900000,364865278.47385700,0
2024-01-15,2472.87000000,2553.82000000,2470.92000000,2511.78000000,315247.88190000,2024-01-15 23:59:59.999,793871974.87160100,789378,159083.43660000,400685806.64176400,0
2024-01-16,2511.79000000,2614.43000000,2500.05000000,2587.40000000,381077.62470000,2024-01-16 23:59:59.999,972060398.77460000,1140088,201471.81520000,514039096.29154800,0
2024-01-17,2587.41000000,2592.97000000,2506.75000000,2530.19000000,366281.34770000,2024-01-17 23:59:59.999,933809190.34820800,1140624,180607.81460000,460417669.70201800,0
2024-01-18,2530.20000000,2550.00000000,2428.56000000,2470.81000000,452090.10740000,2024-01-18 23:59:59.999,1129803152.91478800,894355,213299.17890000,533210494.56816800,0
2024-01-19,2470.81000000,2504.20000000,2415.20000000,2492.00000000,424209.00290000,2024-01-19 23:59:59.999,1047352971.89337000,855044,206802.95850000,510669928.42324200,0
2024-01-20,2491.99000000,2492.00000000,2454.20000000,2472.01000000,136620.95770000,2024-01-20 23:59:59.999,337794603.14760000,418938,64429.72620000,159284530.83930200,0
2024-01-21,2472.02000000,2482.18000000,2452.13000000,2457.05000000,122572.16870000,2024-01-21 23:59:59.999,303022758.72808200,360446,61174.35550000,151252878.97845200,0
2024-01-22,2457.06000000,2466.10000000,2303.59000000,2314.20000000,526337.64920000,2024-01-22 23:59:59.999,1252505758.32290400,933793,245492.64200000,584077487.05425800,0
2024-01-23,2314.19000000,2352.23000000,2168.07000000,2242.60000000,700105.33140000,2024-01-23 23:59:59.999,1568448812.43809000,1204183,342792.23580000,768007673.88793500,0
2024-01-24,2242.60000000,2264.60000000,2196.12000000,2235.02000000,359851.14960000,2024-01-24 23:59:59.999,802477123.10851500,801012,175571.10550000,391550218.45457200,0
2024-01-25,2235.02000000,2242.89000000,2171.30000000,2218.64000000,330426.60610000,2024-01-25 23:59:59.999,731016014.38228900,756164,167421.81490000,370422421.76426600,0
2024-01-26,2218.64000000,2282.36000000,2195.84000000,2267.68000000,363566.42550000,2024-01-26 23:59:59.999,815753832.16317100,823603,182453.18340000,409362536.72305900,0
2024-01-27,2267.67000000,2282.94000000,2251.40000000,2267.94000000,145109.38360000,2024-01-27 23:59:59.999,329102144.45981500,416970,71016.41810000,161066722.42544700,0
2024-01-28,2267.94000000,2308.24000000,2239.89000000,2256.90000000,209326.90870000,2024-01-28 23:59:59.999,476534769.15889200,566626,104154.04960000,237191132.09913600,0
2024-01-29,2256.90000000,2322.34000000,2233.80000000,2317.60000000,305528.07760000,2024-01-29 23:59:59.999,696374288.61947300,681798,162757.94930000,370938691.79153600,0
2024-01-30,2317.61000000,2391.98000000,2297.00000000,2343.01000000,372879.57910000,2024-01-30 23:59:59.999,871148737.16665800,770660,183075.94900000,427968852.78869700,0
2024-01-31,2343.00000000,2351.60000000,2263.57000000,2283.14000000,397116.18590000,2024-01-31 23:59:59.999,920131584.29010400,922884,190645.60670000,441780164.05471900,0
2024-02-01,2283.15000000,2311.72000000,2240.00000000,2304.28000000,310997.45380000,2024-02-01 23:59:59.999,708868445.04675500,779472,158219.25580000,360682829.63350700,0
2024-02-02,2304.28000000,2324.74000000,2281.94000000,2309.06000000,238230.51100000,2024-02-02 23:59:59.999,549302201.69764200,574621,124140.55470000,286293198.37916000,0
2024-02-03,2309.07000000,2329.98000000,2292.75000000,2296.49000000,133232.84500000,2024-02-03 23:59:59.999,307866239.18644200,397464,67739.16040000,156542429.20219000,0
2024-02-04,2296.50000000,2311.00000000,2266.00000000,2289.79000000,171232.04440000,2024-02-04 23:59:59.999,393039532.45206800,506684,86355.84790000,198240508.08091100,0
2024-02-05,2289.79000000,2338.41000000,2269.11000000,2301.83000000,236610.41200000,2024-02-05 23:59:59.999,545576620.00256500,730863,119477.20730000,275457076.81283000,0
2024-02-06,2301.84000000,2392.40000000,2299.00000000,2372.64000000,368942.74980000,2024-02-06 23:59:59.999,864113645.78768100,861796,194747.05030000,455966832.43351500,0
2024-02-07,2372.63000000,2444.44000000,2354.00000000,2425.10000000,342791.70130000,2024-02-07 23:59:59.999,820475884.30352100,860357,170845.03340000,409066707.64434600,0
2024-02-08,2425.09000000,2463.15000000,2411.01000000,2419.55000000,338040.05390000,2024-02-08 23:59:59.999,821961943.65209600,894102,171666.22000000,417466887.60629000,0
2024-02-09,2419.56000000,2525.00000000,2419.16000000,2486.56000000,492384.38500000,2024-02-09 23:59:59.999,1222635531.62879300,1134276,267424.63820000,663906268.87270700,0
2024-02-10,2486.56000000,2516.45000000,2471.57000000,2500.24000000,185099.59000000,2024-02-10 23:59:59.999,461966177.39475600,622723,92100.74680000,229916992.53344300,0
2024-02-11,2500.24000000,2539.63000000,2493.45000000,2507.21000000,219975.14710000,2024-02-11 23:59:59.999,553430378.32506900,711081,108625.54970000,273332221.82282900,0
2024-02-12,2507.22000000,2665.58000000,2472.00000000,2659.99000000,449501.77600000,2024-02-12 23:59:59.999,1152087242.12635800,1019390,234514.58820000,600948748.23949700,0
2024-02-13,2659.99000000,2686.12000000,2590.00000000,2639.99000000,502447.74500000,2024-02-13 23:59:59.999,1328138932.92916900,1044885,251035.41080000,663739320.80016200,0
2024-02-14,2639.99000000,2786.00000000,2618.40000000,2774.81000000,461670.69440000,2024-02-14 23:59:59.999,1258639954.54766500,1090412,239546.56980000,653095961.20462500,0
2024-02-15,2774.80000000,2867.65000000,2759.25000000,2822.59000000,481689.18740000,2024-02-15 23:59:59.999,1353587492.51477500,1347619,243023.63420000,682988254.22000400,0
2024-02-16,2822.58000000,2857.40000000,2740.00000000,2801.80000000,378070.80370000,2024-02-16 23:59:59.999,1062271564.48786000,1123447,185179.05050000,520346616.72079800,0
2024-02-17,2801.81000000,2804.21000000,2719.01000000,2785.93000000,243302.87590000,2024-02-17 23:59:59.999,673711593.25171300,969157,119901.82840000,332078826.68692700,0
2024-02-18,2785.92000000,2895.00000000,2764.25000000,2881.20000000,367987.88330000,2024-02-18 23:59:59.999,1037802342.59328700,1311570,195921.89910000,552680229.20223500,0
