Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore,Average Price,Price Change
2023-12-13,41492.38,43475.2,40555.0,42869.03,45865.99773,2023-12-13 23:59:59.999,1919703389.48488040,1724659,22354.97386000,935785466.02258570,0,42015.1,1376.6500000000015
2023-12-14,42869.03,43420.0,41400.0,43022.26,42047.05709,2023-12-14 23:59:59.999,1798740625.30166000,1599536,20579.79343000,880356342.38151180,0,42410.0,153.2300000000032
2023-12-15,43022.26,43080.81,41666.0,41940.3,33421.7932,2023-12-15 23:59:59.999,1416898938.50997890,1323628,16321.13654000,691713304.74858880,0,42373.405,-1081.9599999999991
2023-12-16,41940.29,42724.43,41605.0,42278.03,24118.85747,2023-12-16 23:59:59.999,1020469627.88573310,1180886,12193.50511000,515909440.91009290,0,42164.715,337.73999999999796
2023-12-17,42278.02,42424.07,41252.0,41374.65,27722.11452,2023-12-17 23:59:59.999,1161963642.96279640,1227634,13245.86404000,555309260.12794100,0,41838.035,-903.3699999999953
2023-12-18,41374.64,42757.81,40542.93,42657.8,46734.0925,2023-12-18 23:59:59.999,1936003306.08257260,1741647,23255.79871000,963775419.57314980,0,41650.369999999995,1283.1600000000035
2023-12-19,42657.8,43497.0,41811.1,42275.99,40927.86444,2023-12-19 23:59:59.999,1747830242.46159370,1609188,20163.65946000,861082883.31101580,0,42654.05,-381.81000000000495
2023-12-20,42275.99,44283.0,42206.0,43668.93,48710.2947,2023-12-20 23:59:59.999,2115813869.77961900,1934588,23912.13682000,1038694005.77613990,0,43244.5,1392.9400000000023
2023-12-21,43668.92,44242.35,43286.72,43861.8,34624.29384,2023-12-21 23:59:59.999,1514529919.18777960,1500702,17058.89545000,746266380.76924040,0,43764.535,192.88000000000466
2023-12-22,43861.79,44398.26,43412.54,43969.04,32783.19638,2023-12-22 23:59:59.999,1436074497.51285980,1404109,16049.22275000,703199211.03931960,0,43905.4,107.25
2023-12-23,43969.04,43988.68,43291.1,43702.16,16557.1293,2023-12-23 23:59:59.999,722943825.33321760,849658,7765.30564000,339046509.16771960,0,43639.89,-266.8799999999974
2023-12-24,43702.15,43946.0,42500.0,42991.5,25144.33496,2023-12-24 23:59:59.999,1093460634.88942270,1137678,11841.26614000,514962029.17833470,0,43223.0,-710.6500000000015
2023-12-25,42991.5,43802.32,42720.43,43576.13,27021.23992,2023-12-25 23:59:59.999,1172053386.51098150,1168428,13691.23930000,593900885.80314620,0,43261.375,584.6299999999974
2023-12-26,43576.12,43592.68,41637.6,42508.93,41010.04282,2023-12-26 23:59:59.999,1746333612.30494510,1475816,21096.16634000,898267435.23798300,0,42615.14,-1067.1900000000023
2023-12-27,42508.93,43677.0,42098.69,43428.85,36191.21136,2023-12-27 23:59:59.999,1554082990.05227590,1439770,18982.83267000,815239612.61736400,0,42887.845,919.9199999999983
2023-12-28,43428.86,43787.57,42241.79,42563.76,35150.52485,2023-12-28 23:59:59.999,1508408742.37808110,1391826,17422.81910000,747631903.05539890,0,43014.68,-865.0999999999985
2023-12-29,42563.76,43111.0,41300.0,42066.95,42597.18912,2023-12-29 23:59:59.999,1803086285.24657750,1571137,21195.34128000,897324724.79689550,0,42205.5,-496.81000000000495
2023-12-30,42066.94,42612.32,41520.3,42140.28,22906.57818,2023-12-30 23:59:59.999,964875790.98493500,936545,11727.69648000,494133887.90718110,0,42066.31,73.33999999999651
2023-12-31,42140.29,42899.0,41965.84,42283.58,23585.91603,2023-12-31 23:59:59.999,1001519241.55590540,1016484,11997.14865000,509478742.74451080,0,42432.42,143.29000000000087
2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.29903,2024-01-01 23:59:59.999,1169995682.02800140,1114623,14331.73180000,617352094.56051940,0,43182.435,1895.9700000000012
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,2024-01-02 23:59:59.999,2944331821.82307620,2247532,33817.14447000,1527964124.23758480,0,45013.985,767.3600000000006
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,2024-01-03 23:59:59.999,3507104563.74423210,2658041,39103.99162000,1687665202.95131440,0,43125.0,-2101.6800000000003
2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334,2024-01-04 23:59:59.999,2095095359.49363480,1819944,23605.90059000,1030075267.83901300,0,43671.675,1305.8699999999953
2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327,2024-01-05 23:59:59.999,2100953924.36871550,2064845,24015.06426000,1049655019.14000940,0,43403.729999999996,-5.989999999997963
2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144,2024-01-06 23:59:59.999,781212883.49160610,956642,9048.57073000,396341787.36387760,0,43805.735,-176.8000000000029
2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508,2024-01-07 23:59:59.999,1014635096.12414820,1109259,11613.52347000,511871007.52582630,0,44026.34,-39.30000000000291
2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589,2024-01-08 23:59:59.999,3298772150.68150740,2364464,38728.80530000,1755312207.66818340,0,45211.994999999995,3022.029999999999
2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617,2024-01-09 23:59:59.999,3251442072.80839630,2637745,34825.45429000,1620151226.33626950,0,46360.335,-841.0400000000009
2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203,2024-01-10 23:59:59.999,4123809481.71276720,3133588,46910.79439000,2153126701.35216420,0,45998.145000000004,543.989999999998
2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296,2024-01-11 23:59:59.999,4105139605.02830200,2998451,44076.16830000,2070467939.65999250,0,47287.770000000004,-314.8399999999965
2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707,2024-01-12 23:59:59.999,3827483735.57605690,2809192,41707.58066000,1850840878.97782980,0,44007.765,-3556.4300000000003
2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464,2024-01-13 23:59:59.999,1547370611.55316620,1434243,17748.09824000,760432218.24545510,0,42846.56,65.25
2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894,2024-01-14 23:59:59.999,1202212782.25769300,1235727,13690.30843000,583261659.73857610,0,42399.5,-1115.6399999999994
2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303,2024-01-15 23:59:59.999,1718982911.10810270,1657611,19924.76030000,849997411.08758290,0,42559.240000000005,778.75
2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589,2024-01-16 23:59:59.999,1931947150.05907020,1716580,24064.55667000,1031525441.93520850,0,42814.005000000005,626.8499999999985
2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388,2024-01-17 23:59:59.999,1419888430.92288920,1438172,16648.20529000,710532768.04757790,0,42699.345,-361.8400000000038
2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641,2024-01-18 23:59:59.999,1839426541.26357900,1466087,21085.14336000,883292634.20636370,0,41806.64,-1448.5899999999965
2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559,2024-01-19 23:59:59.999,1993846466.53875190,1641428,24347.50020000,1004478721.37920550,0,41238.43,331.5199999999968
2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493,2024-01-20 23:59:59.999,662768008.15093430,807324,7557.36632000,314535141.99556360,0,41664.43,37.01000000000204
2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301,2024-01-21 23:59:59.999,489151571.03090430,657817,5576.56045000,232552207.16073290,0,41691.185,-115.72000000000116
2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911,2024-01-22 23:59:59.999,2247452153.79543270,2147250,26788.13985000,1086650848.06705250,0,40560.615000000005,-2012.300000000003
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351,2024-01-23 23:59:59.999,2275851990.64682690,2043925,30913.97177000,1214417243.69641180,0,39365.869999999995,329.58000000000175
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861,2024-01-24 23:59:59.999,1569704923.83074920,1675615,20673.05725000,825887009.47442260,0,40019.595,187.29000000000087
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853,2024-01-25 23:59:59.999,1238813296.15261370,1291233,15685.24919000,626369240.37339640,0,39925.119999999995,-123.80000000000291
2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.96726,2024-01-26 23:59:59.999,1951700659.28980700,1624861,24674.75551000,1016105199.71712130,0,41034.67,1862.4200000000055
2024-01-27,41823.51,42200.0,41394.34,42120.63,16224.41667,2024-01-27 23:59:59.999,678418702.35094450,751148,7485.64978000,312938659.24802430,0,41797.17,297.11999999999534
2024-01-28,42120.63,42842.68,41620.81,42031.06,27294.99838,2024-01-28 23:59:59.999,1154365891.66825870,1032493,12971.18820000,548670338.63940100,0,42231.744999999995,-89.56999999999971
2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74207,2024-01-29 23:59:59.999,1343462280.36186840,1197856,15996.88627000,681504721.35851260,0,42568.94,1271.6499999999942
2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.24546,2024-01-30 23:59:59.999,1633251085.67135960,1316610,19317.29993000,838876408.45566850,0,43283.175,-361.6100000000006
2024-01-31,42941.1,43745.11,42276.84,42580.0,39871.13688,2024-01-31 23:59:59.999,1711665577.05308240,1499559,20289.94825000,871009715.17022070,0,43010.975,-361.09999999999854
2024-02-01,42580.0,43285.13,41884.28,43082.94,35231.04664,2024-02-01 23:59:59.999,1497121440.64400210,1392269,18134.84304000,770635549.48421270,0,42584.705,502.9400000000023
2024-02-02,43082.95,43488.0,42546.79,43200.0,29672.14418,2024-02-02 23:59:59.999,1277919437.29056120,1086342,15645.57110000,673834785.74779100,0,43017.395000000004,117.05000000000291
2024-02-03,43199.99,43380.01,42880.0,43011.09,12033.40998,2024-02-03 23:59:59.999,518775350.03360090,609962,5691.78572000,245377398.51059570,0,43130.005000000005,-188.90000000000146
2024-02-04,43011.1,43119.04,42222.0,42582.88,17066.89404,2024-02-04 23:59:59.999,730999557.70836820,931235,8427.12671000,360928641.05977220,0,42670.520000000004,-428.22000000000116
